Annual_labour_force_occupation,Esco_occupation,,,,
111 Chief Executives and Senior Officials,business managers,,,,
112 Production Managers and Directors,"process managers, supervisors & coordinators",,,,
113 Functional Managers and Directors,accounting & financial services workers,,,,
115 Financial Institution Managers and Directors,accounting & financial services workers,,,,
116 Managers and Directors in Transport and Logistics,transport & security workers,logistics & distribution managers,,,
117 Senior Officers in Protective Services,transport & security workers,,,,
118 Health and Social Services Managers and Directors,healthcare administrators & assistants,care workers & counsellors,,,
119 Managers and Directors in Retail and Wholesale,shop & services managers,,,,
121 Managers and Proprietors in Agriculture Related Services,environmental & agriculture workers,aquaculture workers,,,
122 Managers and Proprietors in Hospitality and Leisure Services,social workers,,,,
124 Managers and Proprietors in Health and Care Services,healthcare administrators & assistants,,,,
125 Managers and Proprietors in Other Services,business managers,,,,
211 Natural and Social Science Professionals,researchers & science technicians,,,,
212 Engineering Professionals,"industrial technicians, mechanics & repairers",various engineers & architects,,,
213 Information Technology and Telecommunications Professionals,art & media technicians,"ict system engineers, adminstrators & managers",developers and testers,data workers,
214 Conservation and Environment Professionals,environmental & agriculture workers,,,,
215 Research and Development Managers,researchers & science technicians,,,,
221 Health Professionals,doctors & specialist therapists,,,,
222 Therapy Professionals,doctors & specialist therapists,,,,
223 Nursing and Midwifery Professionals,teachers & childcare workers,,,,
231 Teaching and Educational Professionals,instructors & vocational teachers,teachers & childcare workers,lecturers,educational administrators,social workers
241 Legal Professionals,"assistants, clerks & legal workers",,,,
"242 Business, Research and Administrative Professionals",business managers,,,,
"243 Architects, Town Planners and Surveyors","mechanical engineers, designers & drafters",creative managers & graphic designers,fine artists,,
244 Welfare Professionals,social workers,,,,
245 Librarians and Related Professionals,"journalists, publishers & composers",,,,
246 Quality and Regulatory Professionals,logistics & distribution managers,,,,
247 Media Professionals,"journalists, publishers & composers",,,,
"311 Science, Engineering and Production Technicians",engineering technicians,research & science technicians,various engineers & architects,,
312 Draughtspersons and Related Architectural Technicians,"mechanical engineers, designers & drafters",,,,
313 Information Technology Technicians,"ict system engineers, adminstrators & managers",,,,
321 Health Associate Professionals,healthcare technicians & scientists,,,,
